Unnamed: 0,Time [s],Acceleration Probe 3 (Y) [mm/s²]
1,0.0,0
2,0.00099997,0
3,0.0019999,0
4,0.0029999,0
5,0.004,0
6,0.005,0
7,0.006,0
8,0.0069999,0
9,0.0079999,258790
10,0.0089999,895770
11,0.0099999,3481600
12,0.011,3756400
13,0.012,2329800
14,0.013,1414000
15,0.014,1298400
16,0.015,1029100
17,0.016,1321100
18,0.017,608540
19,0.018,698910
20,0.019,632640
21,0.02,529150
22,0.02,529150
