Unnamed: 0,Time [s],Acceleration Probe 2 (X) [mm/s²]
1,0.0,0
2,0.00099997,0
3,0.0019999,0
4,0.0029999,0
5,0.004,0
6,0.005,0
7,0.006,0
8,0.0069999,0
9,0.0079999,515710
10,0.0089999,4184600
11,0.0099999,5869700
12,0.011,2996900
13,0.012,2148400
14,0.013,1558300
15,0.014,1324800
16,0.015,1219300
17,0.016,922390
18,0.017,678250
19,0.018,636910
20,0.019,663990
21,0.02,603840
22,0.02,603840
