Unnamed: 0,Time [s],Acceleration Probe 4 (Z) [mm/s²]
1,0.0,0
2,0.00099991,0
3,0.002,0
4,0.003,0
5,0.0039999,0
6,0.005,0
7,0.0059999,0
8,0.0069999,0
9,0.008,1369900
10,0.0089999,2564200
11,0.0099999,11128000
12,0.011,4230600
13,0.012,2951900
14,0.013,2748000
15,0.014,2553500
16,0.015,1707100
17,0.016,1326700
18,0.017,879920
19,0.018,1383600
20,0.019,981190
21,0.02,982490
22,0.02,982490
