Unnamed: 0,Time [s],Acceleration Probe 3 (Y) [mm/s²]
1,0.0,0
2,0.00099991,0
3,0.002,0
4,0.003,0
5,0.0039999,0
6,0.005,0
7,0.0059999,0
8,0.0069999,0
9,0.008,463610
10,0.0089999,1742000
11,0.0099999,9051000
12,0.011,5089500
13,0.012,3636800
14,0.013,2533900
15,0.014,1657600
16,0.015,1625200
17,0.016,1743500
18,0.017,863140
19,0.018,1405300
20,0.019,1111900
21,0.02,964770
22,0.02,964770
